Average: 7.14279431531998e-05
ID	Reference	Hypothesis	sms
22	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this place is a great family owned salon. the staff is friendly, the service is great and the prices are reasonable. they have a unique selection of colors to choose from. the owner is a lovely guy.	3.121633822327576e-05
23	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	way to vegas and they were able to see both me and my husband same day .	5.972177488277724e-05
24	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	i've been going to lovely nails for years now and i've never had a bad experience. the staff is always friendly and the prices are reasonable. i've never had a bad experience here.	5.72597908458388e-05
25	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	this place is amazing! i've been to a lot of nail places in vegas and this is the best nail salon i have ever had. the staff is very friendly and they do a great job on my nails. i will definitely be coming back here again!	3.0037527261605237e-05
26	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	The first time I had a pedicure done and I was able to go back. I will definitely be back. This place is so good. I have been coming here for years. The ladies were very friendly and the service was great. They have a great selection of colors and gel nails.	5.0497576896678995e-05
27	The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.	i love this place! i have been going here for years and i've never had a bad experience. i've been to a lot of places and i've always had a great experience. i've been to a lot of places and i've always had a great experience.	2.073137895496252e-05
28	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	this is a great place to eat.  the food is good and the service is great.  i love the margaritas and the food.  it's a nice place to have a date night.	1.7458886678887222e-05
29	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	patio seating is great . waiters are awesome . food is middle of the road . it ' s a good place to go with it being close to my family ' s home . fiesta platter is huge and great for two to share . specials are a good value and plenty of food if you aren ' t picky . it ' s the go - to place for sit down mexican when we are in town .	4.478887575748537e-05
30	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	This is a great place to eat. The food is good and the service is always friendly. The prices are very reasonable and the food is delicious. It's a great place to go with family and friends. They have plenty of seating.	4.374253957757831e-05
31	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	This is the best Mexican restaurant I've ever been to. The food is always fresh and delicious. The service is great. I've never had a bad meal at this place.	1.6526305485977478e-05
32	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	i ' ve been here many years and we had a great experience at this place . the food is consistently good and the service is great . sometimes the wait can be a bit long but don ' t go wrong with their food .	2.2367469517579798e-05
33	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	This is a great Mexican restaurant with good service, food, and prices. The wait can be long due to its popularity, but it's worth it for the delicious thin chips and spicy salsas, street tacos, and margaritas. The staff are friendly and knowledgeable, and the atmosphere is welcoming. It's a great spot for groups or date nights.	0.000142685323293004
34	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	Great authentic Mexican food at a reasonable price. Free chips and salsa too. Oh and they have delicious margaritas. Very friendly.	3.597710231589793e-05
35	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	Food is great. Service was good and the food was great. I had the pollo fundito. It's a bit of a splurge but this place has a great happy hour and the staff is always friendly. My only complaint is that they don't have a salsa bar for their salsa!	2.6462256925206437e-05
36	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	this is a great place to have a quick bite to eat. the food is delicious and the service is pretty good. the portions are huge and the prices are fair. the food comes with a huge portion of chips and salsa. the chips and salsa are amazing as well. the salsa is pretty good as well. they have	5.2066666576324966e-05
37	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	it 's a good place to go with it being close to my family 's home and the go-to place for sit down mexican when we are in town .	4.0663219298399156e-05
38	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	this is a great mexican restaurant. the food is always good and the service is great. i've been coming here since i was a kid and i've never had a bad meal.	2.1119613908793456e-05
39	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	this is a great place to go for mexican food. the service is great and the food is always good. i've never had a bad experience here. it's a little pricey for what you get but it is worth the wait. if you're looking for a good mexican restaurant, this isn't the place for you.	3.294644437584673e-05
40	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	I have been here twice and I've been to a couple of times and it's always delicious. I think the tacos are very good. This place is great. This place is a bit pricey for the food. The salsa is always good.	3.322765432994533e-05
41	The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.	i love this place! the food is always delicious and the service is great. the food is always good and the prices are reasonable. the food is always good and the prices are reasonable.	4.1509582327018364e-05
42	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	this is the best bar i've ever been to.  i've been coming here for years.  the staff is always friendly and the drinks are always good.  it's a great place to hang out and have a drink with friends.	5.0327480159084443e-05
43	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	"greatest dive bar ever ! their christmas decorations rival that of coach house but without the scottsdale crowd . you can find every type of person hanging out here . the staff is friendly and they pour heavy ( but not too heavy ). my friend said to me a few months ago , "" i found the greatest dive bar ever you have to go to called the swizzle inn !"" i replied , "" it is the greatest ! i ' ve been going to the swizz for years ."" maybe i should have shared the info sooner ?"	4.689399872712593e-05
44	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	Love this place! The food is great and the staff is friendly. It's not a dive bar but it's a good place to hang out with friends. They have a great selection of beers, and the prices are very reasonable. The only drawback is that there is a line to get in.	8.488936646307493e-05
45	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	If you're looking for a dive bar, this is the place to go with friends. The bartenders are friendly and knowledgeable. I've never had a bad time here. If you like dive bars, this place is great!	4.7622706193782684e-05
46	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	i love this place . the only bar is that the place is fun to go . it makes me feel like a local bar . the reason to come here is the reason why i ' m in the neighborhood . she was kind and made with no problems with a variety of food . the staff was friendly and the place was clean . i would think check this place out if you ' ve got to have any home .	5.591235633379308e-05
47	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	Swizzle Inn is a great dive bar in Phoenix with friendly staff, cheap drinks, and a variety of seating options. It's a great place to meet new people and have a good time.	0.00025633391260045563
48	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	The only dive bar in phoenix that truly reminds me of my midwestern roots. Cheap drinks, great happy hour(that's ridiculously long and cheap). You'd think that this would attract the less than desirable crowd to frequent swizzle, but I've only found great bartenders and patrons at this little bar. If you're in the neighborhood you've got to give them a try.	0.00016456060501783491
49	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	The bar staff is awesome. I'm a fan of this place, it's a great location but not much on the strip. Sat at the bar and were seated in less than 10 minutes.  Thanks for making my day so much fun, thanks again!	4.894388311223956e-05
50	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	this is one of the best dive bars i've ever been to in a long time. the atmosphere is awesome and the people are friendly and helpful. the bar is a great spot to hang out with friends or just hang out and have a drink with friends. the prices are cheap and the drinks are cheap. the bar	6.657656387630816e-05
51	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	"dive bar ever you have to go to called the swizzle inn !"" i replied ."	1.9307375513533337e-05
52	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	this is a great dive bar. the staff is friendly and the drinks are cheap. the pool table is a great place to hang out and have a good time. the only downside is that it's a little loud.	4.4541478634224884e-05
53	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	this is a great place to go for a quick bite to eat. the bartenders are very friendly and helpful. they have a good selection of beers on tap and the drinks are strong. i would recommend this place if you're in the area.	5.8607438451144596e-05
54	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	The food is good. They have a great selection of beer and wine. This place is awesome. It's a great place to go. I'm in a hurry to go here. The menu is very small and the atmosphere is great.	3.607484805538433e-05
55	The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.	i've been going to swizzle inn for years and it's the best. the bartenders are friendly and the drinks are cheap. i've had a few drinks here and they have a great selection of drinks.	4.291469076516472e-05
56	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	this place is great!  the food is authentic mexican food and the service was great! we both ordered pambazo sandwich, it's dipped in enchilada sauce with chorizo, lettuce, sour cream, and potatoes. it came with beans, lettuce, cheese, and the meat.  my husband tried to eat all of the torta... he said it was soooo good but it filled him up :).  we really liked all the homemade tortillas, and we'll be back!  waitstaff was delightful.  i would highly recommend this restaurant, if your looking for a casual place.	8.277783991081212e-05
57	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	delicious food , good service , and just off the beaten path . loved this place . the tacos are authentic and well priced . my favorite tacos are in tijuana , especially their octopus tacos ( they ' re amazing , highly recommended you add it to your bucket list ). it was a little slower and i noticed octopus as an option on the menu . i asked if the chef could make some octopus tacos special . he said he could and they were exactly as i wanted . so good ! can ' t wait to go back .	0.00011999975477036013
58	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	Very good food and service. The staff is very nice and helpful. The food is amazing. It's a great place to go if you are in the area and looking for some good authentic Mexican food. This is the place to be. They have a lot of seating and it's very clean.	9.326260953324033e-05
59	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	This place is amazing. The food is authentic and delicious. I had the carne asada tacos and it was delicious. The staff was very friendly and helpful. If you want authentic Mexican food, this is the place to go.	8.630828576445119e-05
60	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	this is one of my wife and wanted to try something new . i ' ll be back to this restaurant from the reviews to this place . the food is great , and the waitress was very friendly . i can find a family owned place to go to after your looking for more new mexican restaurant .	0.00012655416442261213
61	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	This authentic Mexican restaurant is tucked away, but worth the effort to find. The food is amazing and the service is great. Highly recommended for a casual place with delicious food and drinks.	0.0002211846932678177
62	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	This place is great!  My kids loved their milkshakes, and I really liked the hibiscus drink.  My husband tried to eat all of the torta... He said it was soooo good but it filled him up :).  We really liked all of the homemade tortillas, and we'll be back!  Waitstaff was delightful.	0.00011039797970524444
63	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	Unbelievable food. The service is great and so is the food! My husband had a carne asada burrito, and I had a sweet potato with mushrooms. It was delicious.  We had a few different things and all were really good.  We will definitely be back, and it's a great place to go for a quick bite to eat!	7.129386118472894e-05
64	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	this is the best mexican restaurant i have ever been to. the food is very fresh and the service is amazing. the waitress was very friendly and helpful. the restaurant is very clean and the food was amazing. i had the carne asada tacos and they were amazing. i loved everything about this place and i will definitely be	5.6414385533994695e-05
65	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	very clean and well kept , and the waitress provided superior service with great communication skills .	8.307305969188599e-05
66	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	this place is amazing! the food is authentic and the service is great. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place.	3.168785165898264e-05
67	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	this place is amazing! the food is delicious and the service is great. i've never had a bad meal here. the staff is very friendly and attentive. they have a great variety of food and their prices are reasonable. if you're in the mood for mexican food, this is the place to go!	9.633069182412264e-05
68	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	The food is delicious and the food is always fresh. It's a good place to go to the bar. They are good and the tacos are pretty good. I would definitely recommend this place. I'm sure I will be back. Great service and the food is amazing.	7.620305000013446e-05
69	Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.	i love this place. the food is delicious and the service is great. the food is fresh and the drinks are delicious. the place is tucked away, so it's difficult to find. however, if you follow their address and unit number, you can find it. however, if you follow their address and unit number, you can find it.	0.00010514376022758515
70	The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.	this is a great place to spend a couple of hours in the downtown cleveland/flats area.  it is family friendly, and children enjoy it.  the staff are knowledgable (ask about the poor turtles).   we had a great time today.  the shark tank is cool and there's a tunnel where you walk through it. i walked through the entire thing in an hour and i probably read like 10 info plates.   it's a very relaxing place.	7.902589473721223e-05
71	The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.	the greater cleveland aquarium is a nice place to spend a couple of hours in the downtown cleveland / flats area . it is expensive , in my opinion for what is actually there . it is family friendly , and children enjoy it . the building is really cool - and sharks are always fascinating , you can touch a ray , have fish , sharks and rays swim over your head in the tunnels , and also feed the rays - but be mindful of feeding times . costumed staff / tour guides add to the charm factor . the gift shop has a nice assortment of souvenirs .	0.00015608214236382994
72	The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.	The Cleveland area is a nice place to hang out with a couple of friends. The staff is very friendly, and there is plenty of parking in the back. It's a great place to spend your time in the area. The only downside is that it's a little bit off the strip, but it is worth it. They also have an interesting selection of sharks and sharks. It's a little pricey for what you get, but it's worth the price.	8.812772920258057e-05
73	The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.	This is the first time I've been here. It's a little pricey but worth the money. The staff is very friendly and helpful. If you are in Cleveland, this is your place to go. You can't beat it!	3.8955132854249515e-05
74	The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.	this is a great place to spend a couple hours . if you are in las vegas for a great time , this is by far the best in vegas . they have a great selection of stuff and the staff is extremely cool . i can ' t go wrong if you don ' t like it .	3.8222225528774754e-05
