,reference,hypothesis,chrF_score
20,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","Victoria is my favorite:) she fixed a situation with the other nail tech because she wasn't filing my nails properly - she did my pedi great though . Anyways I used to go to polished nails and pay too much just because they had a lot of gel color selections I like . BUT now that I've found lovely nails they have all the same beautiful unique colors and it's reasonably priced ! Not to mention I don't really need to make an appointment and the management here solves issues better . My new fav nail place . Been in Vegas 11 years and I've tried many places . This one is great :)
",0.2727012932294401
21,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","Place is super clean and neat. My nail tech was great she was very friendly and accommodating. I had a few different things on the menu but they did a great job of putting my nails in the right place.. I will be back for sure!! Thanks for the great service & atmosphere.
",0.2266464419974534
22,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","this place is a great family owned salon. the staff is friendly, the service is great and the prices are reasonable. they have a unique selection of colors to choose from. the owner is a lovely guy.
",0.2913416851273396
23,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","way to vegas and they were able to see both me and my husband same day .
",0.07955861655309472
24,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","i've been going to lovely nails for years now and i've never had a bad experience. the staff is always friendly and the prices are reasonable. i've never had a bad experience here.
",0.2134049478652363
25,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","this place is amazing! i've been to a lot of nail places in vegas and this is the best nail salon i have ever had. the staff is very friendly and they do a great job on my nails. i will definitely be coming back here again!
",0.20776274831676822
26,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","The first time I had a pedicure done and I was able to go back. I will definitely be back. This place is so good. I have been coming here for years. The ladies were very friendly and the service was great. They have a great selection of colors and gel nails.
",0.25963346548427757
27,"The service here is hit or miss. Sometimes you get a good tech and they do an awesome job. Sometimes you get one that's not so great and the nails come off or break. There are a large variety of polish colors to choose form an the prices are fairly reasonable. They offer nail services as well as waxing.
","i love this place! i have been going here for years and i've never had a bad experience. i've been to a lot of places and i've always had a great experience. i've been to a lot of places and i've always had a great experience.
",0.1606536241446046
28,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","this is a great place to eat.  the food is good and the service is great.  i love the margaritas and the food.  it's a nice place to have a date night.
",0.18476567065635247
29,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","patio seating is great . waiters are awesome . food is middle of the road . it ' s a good place to go with it being close to my family ' s home . fiesta platter is huge and great for two to share . specials are a good value and plenty of food if you aren ' t picky . it ' s the go - to place for sit down mexican when we are in town .
",0.2588471945432215
30,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","This is a great place to eat. The food is good and the service is always friendly. The prices are very reasonable and the food is delicious. It's a great place to go with family and friends. They have plenty of seating.
",0.26234851814934507
31,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","This is the best Mexican restaurant I've ever been to. The food is always fresh and delicious. The service is great. I've never had a bad meal at this place.
",0.19651996359234597
32,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","i ' ve been here many years and we had a great experience at this place . the food is consistently good and the service is great . sometimes the wait can be a bit long but don ' t go wrong with their food .
",0.18333477339252224
33,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","This is a great Mexican restaurant with good service, food, and prices. The wait can be long due to its popularity, but it's worth it for the delicious thin chips and spicy salsas, street tacos, and margaritas. The staff are friendly and knowledgeable, and the atmosphere is welcoming. It's a great spot for groups or date nights.
",0.3413585754541186
34,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","Great authentic Mexican food at a reasonable price. Free chips and salsa too. Oh and they have delicious margaritas. Very friendly.
",0.25907231074143533
35,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","Food is great. Service was good and the food was great. I had the pollo fundito. It's a bit of a splurge but this place has a great happy hour and the staff is always friendly. My only complaint is that they don't have a salsa bar for their salsa!
",0.20907934690402039
36,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","this is a great place to have a quick bite to eat. the food is delicious and the service is pretty good. the portions are huge and the prices are fair. the food comes with a huge portion of chips and salsa. the chips and salsa are amazing as well. the salsa is pretty good as well. they have
",0.29185114588396566
37,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","it 's a good place to go with it being close to my family 's home and the go-to place for sit down mexican when we are in town .
",0.12273850973487282
38,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","this is a great mexican restaurant. the food is always good and the service is great. i've been coming here since i was a kid and i've never had a bad meal.
",0.1774798305460638
39,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","this is a great place to go for mexican food. the service is great and the food is always good. i've never had a bad experience here. it's a little pricey for what you get but it is worth the wait. if you're looking for a good mexican restaurant, this isn't the place for you.
",0.22820838293609003
40,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","I have been here twice and I've been to a couple of times and it's always delicious. I think the tacos are very good. This place is great. This place is a bit pricey for the food. The salsa is always good.
",0.195327313635915
41,"The servers are kind and knowledgeable, they will patiently answer your questions. They offer patio seating if you'd prefer to sit outside. The free chips and salsa are always a plus, and the margaritas are amazing too. The menu is full tasty authentic Mexican dishes.
","i love this place! the food is always delicious and the service is great. the food is always good and the prices are reasonable. the food is always good and the prices are reasonable.
",0.1912034306999009
42,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","this is the best bar i've ever been to.  i've been coming here for years.  the staff is always friendly and the drinks are always good.  it's a great place to hang out and have a drink with friends.
",0.24595693021953596
43,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","greatest dive bar ever ! their christmas decorations rival that of coach house but without the scottsdale crowd . you can find every type of person hanging out here . the staff is friendly and they pour heavy ( but not too heavy ). my friend said to me a few months ago , "" i found the greatest dive bar ever you have to go to called the swizzle inn !"" i replied , "" it is the greatest ! i ' ve been going to the swizz for years ."" maybe i should have shared the info sooner ?
",0.23974903131415917
44,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","Love this place! The food is great and the staff is friendly. It's not a dive bar but it's a good place to hang out with friends. They have a great selection of beers, and the prices are very reasonable. The only drawback is that there is a line to get in.
",0.2758831031462564
45,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","If you're looking for a dive bar, this is the place to go with friends. The bartenders are friendly and knowledgeable. I've never had a bad time here. If you like dive bars, this place is great!
",0.19899208598633802
46,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","i love this place . the only bar is that the place is fun to go . it makes me feel like a local bar . the reason to come here is the reason why i ' m in the neighborhood . she was kind and made with no problems with a variety of food . the staff was friendly and the place was clean . i would think check this place out if you ' ve got to have any home .
",0.24468451107530118
47,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","Swizzle Inn is a great dive bar in Phoenix with friendly staff, cheap drinks, and a variety of seating options. It's a great place to meet new people and have a good time.
",0.26454288045511704
48,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","The only dive bar in phoenix that truly reminds me of my midwestern roots. Cheap drinks, great happy hour(that's ridiculously long and cheap). You'd think that this would attract the less than desirable crowd to frequent swizzle, but I've only found great bartenders and patrons at this little bar. If you're in the neighborhood you've got to give them a try.
",0.23415113183210584
49,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","The bar staff is awesome. I'm a fan of this place, it's a great location but not much on the strip. Sat at the bar and were seated in less than 10 minutes.  Thanks for making my day so much fun, thanks again!
",0.18960665508574584
50,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","this is one of the best dive bars i've ever been to in a long time. the atmosphere is awesome and the people are friendly and helpful. the bar is a great spot to hang out with friends or just hang out and have a drink with friends. the prices are cheap and the drinks are cheap. the bar
",0.2608186241776816
51,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","dive bar ever you have to go to called the swizzle inn !"" i replied .
",0.06300232331541025
52,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","this is a great dive bar. the staff is friendly and the drinks are cheap. the pool table is a great place to hang out and have a good time. the only downside is that it's a little loud.
",0.23775691458794246
53,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","this is a great place to go for a quick bite to eat. the bartenders are very friendly and helpful. they have a good selection of beers on tap and the drinks are strong. i would recommend this place if you're in the area.
",0.255496077758121
54,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","The food is good. They have a great selection of beer and wine. This place is awesome. It's a great place to go. I'm in a hurry to go here. The menu is very small and the atmosphere is great.
",0.22361519242278094
55,"The drinks here are well priced, especially during happy hour. There is a large variety or regulars from various backgrounds and ages. Great place to meet new people. The staff  are great they provide a nice judgement free environment and they aren't stingy on the pours.
","i've been going to swizzle inn for years and it's the best. the bartenders are friendly and the drinks are cheap. i've had a few drinks here and they have a great selection of drinks.
",0.22123852683374873
56,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","this place is great!  the food is authentic mexican food and the service was great! we both ordered pambazo sandwich, it's dipped in enchilada sauce with chorizo, lettuce, sour cream, and potatoes. it came with beans, lettuce, cheese, and the meat.  my husband tried to eat all of the torta... he said it was soooo good but it filled him up :).  we really liked all the homemade tortillas, and we'll be back!  waitstaff was delightful.  i would highly recommend this restaurant, if your looking for a casual place.
",0.2840598172898669
57,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","delicious food , good service , and just off the beaten path . loved this place . the tacos are authentic and well priced . my favorite tacos are in tijuana , especially their octopus tacos ( they ' re amazing , highly recommended you add it to your bucket list ). it was a little slower and i noticed octopus as an option on the menu . i asked if the chef could make some octopus tacos special . he said he could and they were exactly as i wanted . so good ! can ' t wait to go back .
",0.29867098493704136
58,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","Very good food and service. The staff is very nice and helpful. The food is amazing. It's a great place to go if you are in the area and looking for some good authentic Mexican food. This is the place to be. They have a lot of seating and it's very clean.
",0.22835131269534414
59,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","This place is amazing. The food is authentic and delicious. I had the carne asada tacos and it was delicious. The staff was very friendly and helpful. If you want authentic Mexican food, this is the place to go.
",0.2577401198807861
60,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","this is one of my wife and wanted to try something new . i ' ll be back to this restaurant from the reviews to this place . the food is great , and the waitress was very friendly . i can find a family owned place to go to after your looking for more new mexican restaurant .
",0.2131491092968589
61,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","This authentic Mexican restaurant is tucked away, but worth the effort to find. The food is amazing and the service is great. Highly recommended for a casual place with delicious food and drinks.
",0.20639952900607222
62,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","This place is great!  My kids loved their milkshakes, and I really liked the hibiscus drink.  My husband tried to eat all of the torta... He said it was soooo good but it filled him up :).  We really liked all of the homemade tortillas, and we'll be back!  Waitstaff was delightful.
",0.1865748191954879
63,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","Unbelievable food. The service is great and so is the food! My husband had a carne asada burrito, and I had a sweet potato with mushrooms. It was delicious.  We had a few different things and all were really good.  We will definitely be back, and it's a great place to go for a quick bite to eat!
",0.2355738355785003
64,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","this is the best mexican restaurant i have ever been to. the food is very fresh and the service is amazing. the waitress was very friendly and helpful. the restaurant is very clean and the food was amazing. i had the carne asada tacos and they were amazing. i loved everything about this place and i will definitely be
",0.280779471518996
65,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","very clean and well kept , and the waitress provided superior service with great communication skills .
",0.09260071506813514
66,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","this place is amazing! the food is authentic and the service is great. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place. i've never had a bad meal here. i highly recommend this place.
",0.2131489123040751
67,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","this place is amazing! the food is delicious and the service is great. i've never had a bad meal here. the staff is very friendly and attentive. they have a great variety of food and their prices are reasonable. if you're in the mood for mexican food, this is the place to go!
",0.2826170153401699
68,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","The food is delicious and the food is always fresh. It's a good place to go to the bar. They are good and the tacos are pretty good. I would definitely recommend this place. I'm sure I will be back. Great service and the food is amazing.
",0.25476505311862113
69,"Oh wow, this place is amazing. Food here is way above what you'd expect. It's not in the biggest area with foot traffic, so it's a bit hidden, but you know what they say, hidden gems are the best. Service was friendly, quick and when they came out with the delicious food, it was overall a great experience. Definitely love this place and you gotta try the tacos, they are delicious.
","i love this place. the food is delicious and the service is great. the food is fresh and the drinks are delicious. the place is tucked away, so it's difficult to find. however, if you follow their address and unit number, you can find it. however, if you follow their address and unit number, you can find it.
",0.2875062863982611
70,"The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.
","this is a great place to spend a couple of hours in the downtown cleveland/flats area.  it is family friendly, and children enjoy it.  the staff are knowledgable (ask about the poor turtles).   we had a great time today.  the shark tank is cool and there's a tunnel where you walk through it. i walked through the entire thing in an hour and i probably read like 10 info plates.   it's a very relaxing place.
",0.29636680847837094
71,"The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.
","the greater cleveland aquarium is a nice place to spend a couple of hours in the downtown cleveland / flats area . it is expensive , in my opinion for what is actually there . it is family friendly , and children enjoy it . the building is really cool - and sharks are always fascinating , you can touch a ray , have fish , sharks and rays swim over your head in the tunnels , and also feed the rays - but be mindful of feeding times . costumed staff / tour guides add to the charm factor . the gift shop has a nice assortment of souvenirs .
",0.3235486318706936
72,"The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.
","The Cleveland area is a nice place to hang out with a couple of friends. The staff is very friendly, and there is plenty of parking in the back. It's a great place to spend your time in the area. The only downside is that it's a little bit off the strip, but it is worth it. They also have an interesting selection of sharks and sharks. It's a little pricey for what you get, but it's worth the price.
",0.31963414814623337
73,"The staff here are friendly, engaging, and knowledgeable. It's a bit expensive but the exhibits are well done, and there are chances to interact with some of the animals. You can feed the stings rays, and touch them too! The sharks can swim right over the top of you via an overhead tunnel, it's a great view. If you want more informative experience you can pay for a tour.
","This is the first time I've been here. It's a little pricey but worth the money. The staff is very friendly and helpful. If you are in Cleveland, this is your place to go. You can't beat it!
",0.2056333929887648
